State	StateName	Year	Month	Period	Indicator	DataValue	PercentComplete	PercentPendingInvestigation	Footnote
AK	Alaska	2015	January	12 month-ending	Number of Deaths	4,034	100	0	
AK	Alaska	2015	February	12 month-ending	Number of Deaths	4,084	100	0	
AK	Alaska	2015	March	12 month-ending	Number of Deaths	4,101	100	0	
AK	Alaska	2015	April	12 month-ending	Number of Deaths	4,133	100	0	
AK	Alaska	2015	May	12 month-ending	Number of Deaths	4,196	100	0	
AK	Alaska	2015	June	12 month-ending	Number of Deaths	4,201	100	0	
AK	Alaska	2015	July	12 month-ending	Number of Deaths	4,220	100	0	
AK	Alaska	2015	August	12 month-ending	Number of Deaths	4,222	100	0	
AK	Alaska	2015	September	12 month-ending	Number of Deaths	4,242	100	0	
AK	Alaska	2015	October	12 month-ending	Number of Deaths	4,241	100	0	
AK	Alaska	2015	November	12 month-ending	Number of Deaths	4,219	100	0	
AK	Alaska	2015	December	12 month-ending	Number of Deaths	4,193	100	0	
AK	Alaska	2016	January	12 month-ending	Number of Deaths	4,213	100	0	
AK	Alaska	2016	February	12 month-ending	Number of Deaths	4,198	100	0	
AK	Alaska	2016	March	12 month-ending	Number of Deaths	4,230	100	0	
AK	Alaska	2016	April	12 month-ending	Number of Deaths	4,262	100	0	
AK	Alaska	2016	May	12 month-ending	Number of Deaths	4,241	100	0	
AK	Alaska	2016	June	12 month-ending	Number of Deaths	4,261	100	0	
AK	Alaska	2016	July	12 month-ending	Number of Deaths	4,269	100	0	
AK	Alaska	2016	August	12 month-ending	Number of Deaths	4,276	100	0.023386342	
AK	Alaska	2016	September	12 month-ending	Number of Deaths	4,256	100	0.046992481	
AK	Alaska	2016	October	12 month-ending	Number of Deaths	4,291	100	0.069913773	
AK	Alaska	2016	November	12 month-ending	Number of Deaths	4,289	100	0.069946374	
AK	Alaska	2016	December	12 month-ending	Number of Deaths	4,355	100	0.068886338	
AK	Alaska	2017	January	12 month-ending	Number of Deaths	4,374	100	0.068587106	*Likely underreported due to incomplete data
AK	Alaska	2017	February	12 month-ending	Number of Deaths	4,347	100	0.069013113	*Likely underreported due to incomplete data
AK	Alaska	2017	March	12 month-ending	Number of Deaths	4,360	100	0.068807339	*Likely underreported due to incomplete data
AK	Alaska	2017	April	12 month-ending	Number of Deaths	4,326	100	0.069348128	*Likely underreported due to incomplete data
AK	Alaska	2017	May	12 month-ending	Number of Deaths	4,278	100	0.070126227	*Likely underreported due to incomplete data
AK	Alaska	2017	June	12 month-ending	Number of Deaths	4,277	100	0.070142623	*Likely underreported due to incomplete data
AK	Alaska	2017	July	12 month-ending	Number of Deaths	4,238	100	0.070788108	*Likely underreported due to incomplete data
AK	Alaska	2017	August	12 month-ending	Number of Deaths	4,235	100	0.047225502	*Likely underreported due to incomplete data
AK	Alaska	2017	September	12 month-ending	Number of Deaths	4,299	100	0.023261224	*Likely underreported due to incomplete data
AK	Alaska	2015	January	12 month-ending	Number of Drug Overdose Deaths	126	100	0	
AK	Alaska	2015	February	12 month-ending	Number of Drug Overdose Deaths	127	100	0	
AK	Alaska	2015	March	12 month-ending	Number of Drug Overdose Deaths	125	100	0	
AK	Alaska	2015	April	12 month-ending	Number of Drug Overdose Deaths	126	100	0	
AK	Alaska	2015	May	12 month-ending	Number of Drug Overdose Deaths	125	100	0	
AK	Alaska	2015	June	12 month-ending	Number of Drug Overdose Deaths	121	100	0	
AK	Alaska	2015	July	12 month-ending	Number of Drug Overdose Deaths	117	100	0	
