	State	State_Code	Year	Year_Code	Multiple_Cause_of_death	MCD_Code	Deaths	Population	Crude_Rate	PCT_of_Total_Deaths
	"Alabama"	"01"	"2000"	"2000"	"Opium"	"T40.0"	Suppressed	3323678	Suppressed	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"Heroin"	"T40.1"	Suppressed	3323678	Suppressed	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"Other opioids"	"T40.2"	26	3323678	0.8	0.0%
	"Alabama"	"01"	"2000"	"2000"	"Methadone"	"T40.3"	12	3323678	Unreliable	0.0%
	"Alabama"	"01"	"2000"	"2000"	"Other synthetic narcotics"	"T40.4"	13	3323678	Unreliable	0.0%
	"Alabama"	"01"	"2001"	"2001"	"Opium"	"T40.0"	Suppressed	3347225	Suppressed	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Heroin"	"T40.1"	Suppressed	3347225	Suppressed	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Other opioids"	"T40.2"	25	3347225	0.7	0.0%
	"Alabama"	"01"	"2001"	"2001"	"Methadone"	"T40.3"	30	3347225	0.9	0.0%
	"Alabama"	"01"	"2001"	"2001"	"Other synthetic narcotics"	"T40.4"	Suppressed	3347225	Suppressed	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"Opium"	"T40.0"	Suppressed	3363499	Suppressed	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"Heroin"	"T40.1"	Suppressed	3363499	Suppressed	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"Other opioids"	"T40.2"	30	3363499	0.9	0.0%
	"Alabama"	"01"	"2002"	"2002"	"Methadone"	"T40.3"	36	3363499	1.1	0.0%
	"Alabama"	"01"	"2002"	"2002"	"Other synthetic narcotics"	"T40.4"	Suppressed	3363499	Suppressed	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Opium"	"T40.0"	Suppressed	3390408	Suppressed	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Heroin"	"T40.1"	Suppressed	3390408	Suppressed	Suppressed
	"Alabama"	"01"	"2003"	"2003"	"Other opioids"	"T40.2"	23	3390408	0.7	0.0%
	"Alabama"	"01"	"2003"	"2003"	"Methadone"	"T40.3"	27	3390408	0.8	0.0%
	"Alabama"	"01"	"2003"	"2003"	"Other synthetic narcotics"	"T40.4"	Suppressed	3390408	Suppressed	Suppressed
