	Year	Year_Code	Multiple_Cause_of_death	MCD_Code	Deaths	Population	Crude_Rate	PCT_of_Total_Deaths
	"2000"	"2000"	"Opium"	"T40.0"	2	209128094	Unreliable	0.0%
	"2000"	"2000"	"Heroin"	"T40.1"	1987	209128094	1.0	0.6%
	"2000"	"2000"	"Other opioids"	"T40.2"	3058	209128094	1.5	1.0%
	"2000"	"2000"	"Methadone"	"T40.3"	1046	209128094	0.5	0.3%
	"2000"	"2000"	"Other synthetic narcotics"	"T40.4"	813	209128094	0.4	0.3%
	"2000"	"2000"	"Total"		"ALL" 6906	209128094	3.3	2.2%
	"2001"	"2001"	"Opium"	"T40.0"	7	212297780	Unreliable	0.0%
	"2001"	"2001"	"Heroin"	"T40.1"	1895	212297780	0.9	0.6%
	"2001"	"2001"	"Other opioids"	"T40.2"	3617	212297780	1.7	1.2%
	"2001"	"2001"	"Methadone"	"T40.3"	1536	212297780	0.7	0.5%
	"2001"	"2001"	"Other synthetic narcotics"	"T40.4"	1002	212297780	0.5	0.3%
	"2001"	"2001"		"Total"		"ALL"	8057	212297780	3.8	2.6%
	"2002"	"2002"	"Opium"	"T40.0"	3	214688736	Unreliable	0.0%
	"2002"	"2002"	"Heroin"	"T40.1"	2208	214688736	1.0	0.7%
	"2002"	"2002"	"Other opioids"	"T40.2"	4648	214688736	2.2	1.5%
	"2002"	"2002"	"Methadone"	"T40.3"	2423	214688736	1.1	0.8%
	"2002"	"2002"	"Other synthetic narcotics"	"T40.4"	1353	214688736	0.6	0.4%
	"2002"	"2002"		"Total"		"ALL"	10635	214688736	5.0	3.4%
	"2003"	"2003"	"Opium"	"T40.0"	6	217007175	Unreliable	0.0%
	"2003"	"2003"	"Heroin"	"T40.1"	2194	217007175	1.0	0.7%
	"2003"	"2003"	"Other opioids"	"T40.2"	5097	217007175	2.3	1.6%
	"2003"	"2003"	"Methadone"	"T40.3"	3058	217007175	1.4	1.0%
	"2003"	"2003"	"Other synthetic narcotics"	"T40.4"	1454	217007175	0.7	0.5%
	"2003"	"2003"		"Total"		"ALL"	11809	217007175	5.4	3.8%
	"2004"	"2004"	"Opium"	"T40.0"	1	219507563	Unreliable	0.0%
	"2004"	"2004"	"Heroin"	"T40.1"	1994	219507563	0.9	0.6%
	"2004"	"2004"	"Other opioids"	"T40.2"	5462	219507563	2.5	1.8%
	"2004"	"2004"	"Methadone"	"T40.3"	3940	219507563	1.8	1.3%
	"2004"	"2004"	"Other synthetic narcotics"	"T40.4"	1714	219507563	0.8	0.5%
	"2004"	"2004"		"Total"		"ALL"	13111	219507563	6.0	4.2%
	"2005"	"2005"	"Opium"	"T40.0"	2	221992930	Unreliable	0.0%
	"2005"	"2005"	"Heroin"	"T40.1"	2143	221992930	1.0	0.7%
	"2005"	"2005"	"Other opioids"	"T40.2"	6019	221992930	2.7	1.9%
	"2005"	"2005"	"Methadone"	"T40.3"	4560	221992930	2.1	1.5%
	"2005"	"2005"	"Other synthetic narcotics"	"T40.4"	1787	221992930	0.8	0.6%
	"2005"	"2005"		"Total"		"ALL"	14511	221992930	6.5	4.7%
	"2006"	"2006"	"Opium"	"T40.0"	3	224622198	Unreliable	0.0%
	"2006"	"2006"	"Heroin"	"T40.1"	2175	224622198	1.0	0.7%
	"2006"	"2006"	"Other opioids"	"T40.2"	7306	224622198	3.3	2.3%
	"2006"	"2006"	"Methadone"	"T40.3"	5526	224622198	2.5	1.8%
	"2006"	"2006"	"Other synthetic narcotics"	"T40.4"	2815	224622198	1.3	0.9%
	"2006"	"2006"		"Total"		"ALL"	17825	224622198	7.9	5.7%
	"2007"	"2007"	"Opium"	"T40.0"	3	227211802	Unreliable	0.0%
	"2007"	"2007"	"Heroin"	"T40.1"	2420	227211802	1.1	0.8%
	"2007"	"2007"	"Other opioids"	"T40.2"	8424	227211802	3.7	2.7%
	"2007"	"2007"	"Methadone"	"T40.3"	5595	227211802	2.5	1.8%
	"2007"	"2007"	"Other synthetic narcotics"	"T40.4"	2274	227211802	1.0	0.7%
	"2007"	"2007"		"Total"		"ALL"	18716	227211802	8.2	6.0%
	"2008"	"2008"	"Opium"	"T40.0"	1	229989364	Unreliable	0.0%
	"2008"	"2008"	"Heroin"	"T40.1"	3072	229989364	1.3	1.0%
	"2008"	"2008"	"Other opioids"	"T40.2"	9395	229989364	4.1	3.0%
	"2008"	"2008"	"Methadone"	"T40.3"	5007	229989364	2.2	1.6%
	"2008"	"2008"	"Other synthetic narcotics"	"T40.4"	2352	229989364	1.0	0.8%
	"2008"	"2008"		"Total"		"ALL"	19827	229989364	8.6	6.4%
	"2009"	"2009"	"Opium"	"T40.0"	2	232637362	Unreliable	0.0%
	"2009"	"2009"	"Heroin"	"T40.1"	3321	232637362	1.4	1.1%
	"2009"	"2009"	"Other opioids"	"T40.2"	10104	232637362	4.3	3.2%
	"2009"	"2009"	"Methadone"	"T40.3"	4784	232637362	2.1	1.5%
	"2009"	"2009"	"Other synthetic narcotics"	"T40.4"	3014	232637362	1.3	1.0%
	"2009"	"2009"		"Total"		"ALL"	21225	232637362	9.1	6.8%
	"2010"	"2010"	"Opium"	"T40.0"	2	234564071	Unreliable	0.0%
	"2010"	"2010"	"Heroin"	"T40.1"	3076	234564071	1.3	1.0%
	"2010"	"2010"	"Other opioids"	"T40.2"	11375	234564071	4.8	3.6%
	"2010"	"2010"	"Methadone"	"T40.3"	4662	234564071	2.0	1.5%
	"2010"	"2010"	"Other synthetic narcotics"	"T40.4"	3093	234564071	1.3	1.0%
	"2010"	"2010"		"Total"		"ALL"	22208	234564071	9.5	7.1%
	"2011"	"2011"	"Opium"	"T40.0"	0	237657645	Unreliable	0.0%
	"2011"	"2011"	"Heroin"	"T40.1"	4436	237657645	1.9	1.4%
	"2011"	"2011"	"Other opioids"	"T40.2"	12131	237657645	5.1	3.9%
	"2011"	"2011"	"Methadone"	"T40.3"	4528	237657645	1.9	1.5%
	"2011"	"2011"	"Other synthetic narcotics"	"T40.4"	2725	237657645	1.1	0.9%
	"2011"	"2011"		"Total"		"ALL"	23820	237657645	10.0	7.6%
	"2012"	"2012"	"Opium"	"T40.0"	2	240185952	Unreliable	0.0%
	"2012"	"2012"	"Heroin"	"T40.1"	5964	240185952	2.5	1.9%
	"2012"	"2012"	"Other opioids"	"T40.2"	11588	240185952	4.8	3.7%
	"2012"	"2012"	"Methadone"	"T40.3"	4039	240185952	1.7	1.3%
	"2012"	"2012"	"Other synthetic narcotics"	"T40.4"	2713	240185952	1.1	0.9%
	"2012"	"2012"		"Total"		"ALL"	24306	240185952	10.1	7.8%
	"2013"	"2013"	"Opium"	"T40.0"	4	242542967	Unreliable	0.0%
	"2013"	"2013"	"Heroin"	"T40.1"	8343	242542967	3.4	2.7%
	"2013"	"2013"	"Other opioids"	"T40.2"	11781	242542967	4.9	3.8%
	"2013"	"2013"	"Methadone"	"T40.3"	3701	242542967	1.5	1.2%
	"2013"	"2013"	"Other synthetic narcotics"	"T40.4"	3203	242542967	1.3	1.0%
	"2013"	"2013"		"Total"		"ALL"	27032	242542967	11.1	8.7%
	"2014"	"2014"	"Opium"	"T40.0"	0	245273438	Unreliable	0.0%
	"2014"	"2014"	"Heroin"	"T40.1"	10721	245273438	4.4	3.4%
	"2014"	"2014"	"Other opioids"	"T40.2"	12576	245273438	5.1	4.0%
	"2014"	"2014"	"Methadone"	"T40.3"	3512	245273438	1.4	1.1%
	"2014"	"2014"	"Other synthetic narcotics"	"T40.4"	5670	245273438	2.3	1.8%
	"2014"	"2014"		"Total"		"ALL"	32479	245273438	13.2	10.4%
	"2015"	"2015"	"Opium"	"T40.0"	1	247773709	Unreliable	0.0%
	"2015"	"2015"	"Heroin"	"T40.1"	13114	247773709	5.3	4.2%
	"2015"	"2015"	"Other opioids"	"T40.2"	13202	247773709	5.3	4.2%
	"2015"	"2015"	"Methadone"	"T40.3"	3374	247773709	1.4	1.1%
	"2015"	"2015"	"Other synthetic narcotics"	"T40.4"	9762	247773709	3.9	3.1%
	"2015"	"2015"		"Total"		"ALL"	39453	247773709	15.9	12.6%
